episode,env_seed,return,steps,score,broken_bricks,remaining_bricks,clear,lives,terminal_reason,epsilon,loss,td_error_abs_mean,q_mean,q_max,replay_size,global_step,wall_clock_sec
27,27,149.0600000000005,94,1,1,81,0,0,no_lives,0.9119349999999999,0.003966629367688314,88.04913662849589,0.012385017258372712,0.012698271183019623,4635,4635,0.3717161250024219
28,28,149.13000000000048,87,1,1,81,0,0,no_lives,0.910282,0.003942800693792002,90.00581482635147,0.01233405959203668,0.012602802633639726,4722,4722,0.3322929580026539
29,29,548.3500000000008,165,3,3,79,0,0,no_lives,0.907147,0.004380309423008426,93.39998136578184,0.012304140407253396,0.012570565030204527,4887,4887,0.6893642080030986
30,30,149.0600000000005,94,1,1,81,0,0,no_lives,0.905361,0.0048370082302890876,97.03402279792948,0.012298278599739709,0.01257890956278177,4981,4981,0.36006512500171084
31,31,148.92000000000058,108,1,1,81,0,0,no_lives,0.903309,0.007004649170320826,98.98005718655057,0.00599998197975327,0.006603678524563158,5089,5089,0.41404200000397395
32,32,149.0700000000005,93,1,1,81,0,0,no_lives,0.9015420000000001,0.005807831492875853,100.93135431761382,0.0021215317250099235,0.0025061964087428586,5182,5182,0.3554670840021572
33,33,149.13000000000048,87,1,1,81,0,0,no_lives,0.899889,0.005282203852862719,102.89470286752986,0.0021557414411813363,0.0025071203280454396,5269,5269,0.3328320000000531
34,34,148.54000000000076,146,1,1,81,0,0,no_lives,0.897115,0.005609748633865471,104.78976299338144,0.0021603373660744256,0.0025076449095998727,5415,5415,0.5597389589966042
35,35,348.0600000000014,194,2,2,80,0,0,no_lives,0.893429,0.006258260144866504,107.60444255710877,0.0021445812926310856,0.0025206730633820455,5609,5609,0.7460522080000374
36,36,149.04000000000053,96,1,1,81,0,0,no_lives,0.891605,0.007054658476893867,110.31026037534077,0.002125102054075493,0.002520373042595262,5705,5705,0.3684998329990776
37,37,746.6000000000028,340,4,4,78,0,0,no_lives,0.8851450000000001,0.008301752706756815,114.80780242471134,0.001351771177681204,0.0018827839740825927,6045,6045,1.4343192919986905
